"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"APMC ,pombhurna","agriculture produce market committee,pombhurna","6689400","apmc,pombhurna,aksapur road,pombhurna,","Chandrapur","MAHARASHTRA","1147","27-Feb-2023","26-Feb-2028","9579083332","Active",""
"agriculture produce market commitee,gondpimpri","APMC,gondpimpri","6717847","apmc,gondpimpri,","Chandrapur","MAHARASHTRA","1147","19-May-2023","18-May-2028","8830079725","Active",""
"APMC Armori","APMC Armori","6680318","Agriculture market Committee,sub market yard kurkheda,","Gadchiroli","MAHARASHTRA","1147","06-Feb-2023","05-Feb-2028","9404817890","Active",""
"Blithwill Global Warehousing Pvt Ltd","SHRI OMKAR WAREHOUSE","7013139","GAT NO.27/3, MULEGAON, SOLAPUR HYDERABAD ROAD, SOLAPUR","Solapur","MAHARASHTRA","6505","28-Jan-2025","27-Jan-2030","8830324128","Active",""
"Agricultural Produce Market Committee Barshi","Agricultural Produce Committee Barshi","6749162","Tuljapur Road, Market yard","Solapur","MAHARASHTRA","1147","30-Jun-2023","29-Jun-2028","8888526933","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Risod","6580054","APMC, Market Yard, Risod,","Washim","MAHARASHTRA","2000","26-May-2022","25-May-2027","9881751896","Active",""
"Maharashtra State Warehousing Corporation","Panvel (Multi Story)","6586804","Maharashtra State Warehousing Corporation, Survey No. 437, Plot No. 465, Raigad Bazar, APMC Market Yard, Panvel","Raigarh","MAHARASHTRA","8100","30-May-2022","29-May-2027","8149199752","Active",""
"SONPAULA AGRO PRODUCER COMPNY LTD","sonpaula godown no 2","3851641","AT POST ANJANI KHURD, AT POST ANJANI KHURD","Buldana","MAHARASHTRA","1000","22-Mar-2021","21-Mar-2026","7588080447","Active",""
"Maharashtra State Warehousing Corporation","GANGAKHED","6589147","PLOT NO.B-2, MIDC AREA,, GANGAKHED","Parbhani","MAHARASHTRA","7200","01-Jun-2022","31-May-2027","9850611382","Active",""
"Maharashtra State Warehousing Corporation","NANDGAON","6583744","APMC MARKET YARD, NANDGAON","Nashik","MAHARASHTRA","1800","29-May-2022","28-May-2027","8408882562","Active",""
"M/s. Ganraj Warehousing Company","Ganraj Warehousing Company","6982623","Near Karad railway station, Ogalewadi, Karad,","Satara","MAHARASHTRA","10000","01-Oct-2024","30-Sep-2029","9822245555","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra state warehousing corporation Butiboritibori","6583561","Maharashtra state warehousing corporation, PLot No.26A, Indorama Road, Butibori","Nagpur","MAHARASHTRA","4800","29-May-2022","28-May-2027","9021086489","Active",""
